Section,Title,Sub-title,Details
General Information,Property Name,,The Meridian Casino & Resort
General Information,Location,,"Las Vegas Strip, Nevada"
General Information,Casino Hours,,"24 hours, 7 days a week"
General Information,Hotel Check-in,,"4:00 PM (early check-in subject to availability)"
General Information,Hotel Check-out,,"11:00 AM (late checkout available for suite guests)"
General Information,Valet Parking,,"Complimentary for hotel guests, $25 for visitors"
General Information,Self Parking,,Free for all guests
General Information,Dress Code,,"Smart casual throughout property; formal attire required at Aurelia restaurant and Eclipse Lounge"
General Information,Age Requirement,,"21+ for casino floor and bars; all ages welcome in hotel and family restaurants"
General Information,Wi-Fi,,Complimentary throughout property; premium high-speed available in suites
Casino Gaming,Slot Machines,,"Over 2,000 machines ranging from $0.01 to $1,000 per spin. Includes latest video slots, classic reels, and progressive jackpots. Largest jackpot currently at $4.2 million."
Casino Gaming,Blackjack,"40 tables","Minimums from $25 to $10,000. Single deck, 6-deck, and Spanish 21 available."
Casino Gaming,Poker Room,"24/7 operation","Texas Hold'em (No Limit and Limit), Omaha, and Seven Card Stud. Daily tournaments at 11 AM and 7 PM. $200 buy-in for daily tournaments."
Casino Gaming,Roulette,"12 tables","Including American, European, and French roulette. Minimums from $15."
Casino Gaming,Baccarat,"8 tables in main casino","Private high-limit salon with 4 tables. Minimums from $50, high-limit from $5,000."
Casino Gaming,Craps,"6 tables","Minimums from $15. Lessons available daily at 10 AM."
Casino Gaming,Sports Book,"80-seat theater with 40-foot screen","Full bar service. Mobile betting available throughout property via Meridian app."
Casino Gaming,High Limit Salon,Private gaming area with dedicated hosts,"By invitation or $50,000 credit line. Private restrooms, complimentary dining, personal butler service."
Casino Gaming,Players Club,Meridian Rewards program,"Earn points on all play. Tiers: Gold, Platinum, Diamond, and invite-only Black."
Accommodations,Deluxe Room,"450 sq ft","King or two queens. City or pool view. From $299/night."
Accommodations,Premier Room,"550 sq ft","King bed, sitting area. Strip view. From $449/night."
Accommodations,Luxury Suite,"900 sq ft","Separate living room, marble bathroom with soaking tub. From $799/night."
Accommodations,Penthouse Suite,"1,800 sq ft","Two bedrooms, dining room, butler's pantry, private terrace. From $2,500/night."
Accommodations,Chairman's Villa,"4,500 sq ft","Three bedrooms, private pool, personal chef available, 24-hour butler. By inquiry only."
Accommodations,Accessible Rooms,Available in all categories,"Roll-in showers, lowered amenities, visual alerts. Request at booking."
On-Property Restaurants,Aurelia,Fine dining,"Modern French cuisine by Chef Marcus Webb (2 Michelin stars). Tasting menu $285 per person, à la carte available. Dinner only, 6 PM - 10 PM. Reservations required. Formal attire."
On-Property Restaurants,Silk Road,Pan-Asian cuisine,"Sushi bar, robata grill, dim sum. Open 11 AM - 11 PM daily. Reservations recommended for dinner. Smart casual. Prices $40-80 per person."
On-Property Restaurants,The Steakhouse,Classic American steakhouse,"Dry-aged beef, fresh seafood. Open 5 PM - 11 PM. Reservations recommended. Smart casual. Prices $70-150 per person."
On-Property Restaurants,Café Meridian,Casual all-day dining,"Breakfast buffet 7-11 AM ($45). Lunch and dinner menu until midnight. No reservations needed."
On-Property Restaurants,Pool Bar & Grill,Poolside casual,"Burgers, salads, cocktails. 10 AM - 6 PM (seasonal). Hotel guests only."
Bars & Lounges,Eclipse Lounge,Rooftop bar with Strip views,"Craft cocktails, champagne menu. Open 5 PM - 2 AM. Formal attire after 8 PM."
Bars & Lounges,The Vault,Whiskey and cigar lounge,"400+ whiskey selections. Humidor with premium cigars. Open 4 PM - 2 AM. 21+."
Bars & Lounges,Casino Floor Bars,6 bars throughout casino,"Complimentary drinks for active players. Full service available."
Entertainment & Amenities,Meridian Spa,Full-service spa and salon,"Massage, facials, body treatments. Couples suites available. Open 8 AM - 8 PM. Book 24 hours in advance recommended."
Entertainment & Amenities,Fitness Center,24-hour access for hotel guests,"Personal training available. Peloton bikes, free weights, yoga studio."
Entertainment & Amenities,Pool Complex,Three pools,"Including adults-only infinity pool. Cabanas from $300/day (includes $100 food credit). Open 8 AM - 8 PM."
Entertainment & Amenities,Meridian Theater,1,200-seat venue,"Current residency: internationally acclaimed artists (check website for schedule). Tickets from $95. VIP packages available."
Entertainment & Amenities,Nightclub - NOVA,Premier nightclub,"Open Friday and Saturday, 10:30 PM - 4 AM. Cover $50 general, tables from $2,000. Guest list available for hotel guests."
Celebrations & Special Events,Weddings,Multiple venues,"From intimate chapel to grand ballroom. Packages from $5,000 to $150,000. Wedding coordinator included in all packages."
Celebrations & Special Events,Private Events,Meeting rooms and ballrooms,"From 500 to 15,000 sq ft. Full catering and AV services. Corporate rates available."
Celebrations & Special Events,Birthday/Anniversary,Celebration packages,"Include room upgrade, champagne, custom cake, and dinner credit. From $500 additional. 72-hour advance notice required."
Celebrations & Special Events,Bachelor/Bachelorette,VIP packages,"Including suite, nightclub table, pool cabana, and spa credits. Starting at $3,000. Must book 1 week in advance."
Partner Discounts (Show Room Key),Partner Discounts,Carbone (Italian fine dining, 5 min away),"15% off food, priority reservations"
Partner Discounts (Show Room Key),Partner Discounts,Omega Mart (Immersive art experience),$10 off admission
Partner Discounts (Show Room Key),Partner Discounts,Helicopter Tours - Vegas Nights Aviation,"20% off Strip tours, complimentary champagne"
Partner Discounts (Show Room Key),Partner Discounts,Top Golf Las Vegas,Free hour with 2-hour booking
Partner Discounts (Show Room Key),Partner Discounts,Spa Aquae at JW Marriott,10% off treatments (when Meridian Spa fully booked)
Partner Discounts (Show Room Key),Partner Discounts,Fremont Street Experience,"VIP SlotZilla pass, skip the line"
